"all_quant[, 1]","prot_descr[all_quant[, 1], 2]","SIN_12500amol_1","SIN_12500amol_2","SIN_12500amol_3","SIN_125amol_1","SIN_125amol_2","SIN_125amol_3","SIN_25000amol_1","SIN_25000amol_2","SIN_25000amol_3","SIN_2500amol_1","SIN_2500amol_2","SIN_2500amol_3","SIN_250amol_1","SIN_250amol_2","SIN_250amol_3","SIN_50000amol_1","SIN_50000amol_2","SIN_50000amol_3","SIN_5000amol_1","SIN_5000amol_2","SIN_5000amol_3","SIN_500amol_1","SIN_500amol_2","SIN_500amol_3","SIN_50amol_1","SIN_50amol_2","SIN_50amol_3"
"sp|P00331|ADH2_YEAST","Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PGK1 PE=1 SV=2",-20.8035,-20.4066,NA,-21.0367,NA,-19.937,-20.8723,NA,-20.977,-20.9082,-20.8168,-21.2124,-21.3952,-21.3284,NA,NA,-20.0978,-23.8695,-20.943,-20.4088,-21.4949,-21.8963,-21.4882,-21.3395,-21.2699,-19.8344,-20.5164
"sp|P00358|G3P2_YEAST","Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)",-17.7605,-17.0162,-17.5986,-17.7203,-17.5154,-17.8726,-17.6422,-18.916,-18.1294,-18.6715,-18.0807,-17.6795,-17.1805,-16.9414,-17.3264,-18.5654,-19.0591,-19.6748,-17.3594,-17.5814,-17.2403,-17.703,-17.5867,-17.4704,-18.2393,-18.0991,-18.1992
"sp|P00359|G3P3_YEAST","Carboxypeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PRC1 PE=1 SV=1",-13.789,-13.8229,-13.5632,-13.3673,-13.5261,-13.4735,-13.4736,-13.7622,-13.3502,-13.253,-13.4829,-13.3572,-13.252,-13.7169,-13.2743,-13.9171,-13.9571,-13.9044,-13.3171,-13.202,-13.2752,-13.2391,-13.229,-13.5782,-13.4633,-13.6016,-13.7294
"sp|P00360|G3P1_YEAST","Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HIS4 PE=1 SV=3",-16.755,-17.3504,-17.306,-17.3056,-17.2344,-16.2869,-17.432,-17.9066,-17.3545,-17.3428,-16.5595,-16.79,-17.2128,-16.7109,-17.4538,-17.3073,-16.9825,-17.3577,-17.1146,-17.1773,-18.3107,-17.0523,-17.1643,-16.9581,-17.2418,-17.1945,-17.3887
"sp|P00410|COX2_YEAST","Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=IPP1 PE=1 SV=4",-22.9902,NA,NA,NA,-25.1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.9877,NA,NA,NA,NA,NA,NA,NA,NA,-21.785
"sp|P00424|COX5A_YEAST","ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ATP2 PE=1 SV=2",-21.3123,NA,NA,NA,-22.4338,-22.2581,NA,NA,-22.816,-22.3965,NA,-22.1068,NA,NA,-21.8284,NA,NA,NA,NA,-21.3902,NA,-22.6125,NA,NA,-23.1859,NA,NA
"sp|P00427|COX6_YEAST","Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TRP2 PE=1 SV=4",-20.9113,-22.862,-21.6082,-20.1778,-20.7297,-20.1111,NA,NA,-21.5851,-22.8356,-21.2788,-20.9565,-19.8809,-19.5033,-21.0153,-23.3075,-20.8345,-22.5705,-22.9703,-22.9925,-22.0201,-20.0006,-21.1071,-19.5504,-20.519,-19.5216,-21.5778
"sp|P00431|CCPR_YEAST","Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)",-21.9336,NA,-21.1453,-22.0202,NA,-21.6826,NA,-20.3626,-20.9228,-21.4043,-21.4382,-20.3384,-20.3586,NA,-21.0347,-21.0128,NA,-22.4011,-20.2626,-20.6054,-20.526,-21.0135,-20.7618,-20.1511,-21.1032,NA,-22.4519
"sp|P00441ups|SODC_HUMAN_UPS","Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ENO1 PE=1 SV=3",-18.3409,-18.4778,-19.2667,NA,NA,NA,-18.7204,-19.3381,-19.0576,NA,NA,-21.6568,NA,NA,NA,-18.7236,-17.0566,-17.7278,-21.0596,-21.9539,-20.3054,NA,NA,NA,NA,NA,NA
"sp|P00445|SODC_YEAST","Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ENO2 PE=1 SV=2",-14.4778,-14.7259,-14.0074,-14.3383,-14.7542,-14.4737,-14.3405,-14.6708,-14.6397,-14.5562,-14.5049,-14.3146,-14.4369,-14.4085,-14.665,-14.8087,-14.2477,-14.4503,-14.5128,-14.6181,-14.3354,-14.8347,-14.8422,-14.341,-14.8931,-14.8064,-14.6811
"sp|P00447|SODM_YEAST","Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TRP5 PE=1 SV=1",-18.2676,-17.1154,-19.1467,-17.2012,-17.4625,-17.1841,-16.5959,-18.5414,-17.5522,-17.4903,-17.6385,-18.3136,-16.5672,-17.6263,-17.2796,-17.6564,-19.2315,-17.3455,-17.091,-18.46,-16.8939,-16.4542,-17.0522,-17.4096,-17.3028,-16.8163,-16.4922
"sp|P00498|HIS1_YEAST","Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TPI1 PE=1 SV=2",-19.1311,-18.8252,-19.454,-18.8809,-18.9976,-18.0853,-20.0166,-20.6961,-20.5983,-21.6768,-19.667,-20.306,-19.9432,-19.1026,-19.23,-20.7142,-20.5079,-20.2576,-20.5536,-19.8449,-20.0224,-19.5723,-19.2417,-20.5815,-19.3765,-19.1186,-18.7467
"sp|P00549|KPYK1_YEAST","Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GPM1 PE=1 SV=3",-12.8792,-12.8523,-12.8018,-12.7462,-12.6609,-12.957,-12.9571,-13.0556,-13.3569,-12.975,-12.8576,-12.8754,-12.9678,-12.9799,-12.9048,-13.1388,-13.1858,-13.0867,-13.2242,-13.0655,-13.2572,-12.9829,-12.7522,-13.1168,-13.4219,-12.6639,-12.9791
"sp|P00560|PGK_YEAST","Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=MES1 PE=1 SV=4",-13.5612,-13.6851,-13.4262,-13.6118,-13.48,-13.345,-13.5165,-13.1895,-13.2554,-13.365,-13.341,-13.4315,-13.4362,-13.4768,-13.4912,-13.6437,-13.4717,-13.4748,-13.2948,-13.4329,-13.4713,-13.6501,-13.5252,-13.5501,-13.5237,-13.5274,-13.4601
"sp|P00709ups|LALBA_HUMAN_UPS","Antithrombin-III (Chain 33-464) - Homo sapiens (Human)",-17.8143,-18.3248,-17.2003,NA,NA,NA,-16.2078,-16.1991,-16.6621,NA,NA,NA,NA,NA,NA,-15.4656,-15.4963,-15.3899,-21.294,-20.0695,-21.3761,NA,NA,NA,NA,NA,NA
"sp|P00724|INV2_YEAST","GTPase HRas (Chain 1-189) - Homo sapiens (Human)",-22.5324,-21.9304,-23.3027,-23.2031,NA,-23.1205,-22.7826,NA,-22.4324,NA,NA,-23.3239,NA,-22.289,-21.8937,-22.7405,-23.5762,-22.4341,NA,-22.7917,-23.5674,NA,-23.4065,-22.834,-21.576,-22.9005,-21.7633
"sp|P00729|CBPY_YEAST","Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)",-21.4438,-21.2853,-20.7789,-21.4732,-21.4354,-20.6366,-21.0787,-22.2779,-20.7364,-20.8762,-20.7377,-20.864,-20.7484,-20.9126,-21.2234,-20.9907,-22.1391,-22.1612,-21.2227,-22.0651,-21.0435,NA,-22.1398,-24.0848,-20.753,-20.9985,-22.0231
"sp|P00812|ARGI_YEAST","Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)",-20.4884,-18.9828,-21.639,-19.7841,-17.9148,-19.6171,-19.6296,NA,-19.6945,-20.9323,-19.5408,-20.0837,-19.4412,-19.3723,-19.5322,-19.7648,-19.6772,-19.4538,-19.6187,-19.9326,-21.1185,-19.8875,-19.6177,-19.4982,-18.5125,-19.039,-20.5536
"sp|P00815|HIS2_YEAST","Interferon Gamma (Chain 23-166) - Homo sapiens (Human)",-20.8084,-21.1146,-21.7763,-20.8058,-21.4265,-21.2929,-21.3085,-21.0957,-20.8416,-20.7649,-20.6869,-20.7549,-20.8327,-20.5874,-21.0884,-21.5528,-21.3235,-21.889,-20.8799,-21.4285,-21.9575,-21.1104,-20.5795,-21.3243,-22.2911,-22.2807,-22.2476
"sp|P00817|IPYR_YEAST","Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HTB1 PE=1 SV=2",-16.9482,-17.1347,-17.0975,-16.545,-16.8703,-16.9059,-16.7624,-17.0167,-16.8454,-16.5994,-16.2786,-16.6371,-16.6482,-16.6112,-16.8637,-16.5674,-17.2096,-16.5744,-16.9422,-16.5454,-16.489,-16.3906,-16.0189,-16.5547,-16.3135,-16.7501,-16.3793
"sp|P00830|ATPB_YEAST","Histone H4 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HHF1 PE=1 SV=2",-16.6424,-17.0634,-16.9074,-17.2977,-17.464,-17.4018,-17.1165,-17.2032,-16.9969,-18.554,-17.1835,-18.1326,-17.0919,-17.024,-17.2724,-16.9873,-17.4436,-17.0737,-17.2387,-17.0367,-17.455,-17.4798,-16.938,-17.0194,-17.2469,-17.3954,-17.0794
"sp|P00890|CISY1_YEAST","60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPP2B PE=1 SV=2",-16.9581,-16.9438,-17.1275,-16.7208,-17.026,-16.9666,-17.0269,-17.2796,-17.0319,-16.5948,-16.6768,-16.8839,-16.5824,-17.0258,-16.8155,-17.306,-17.1596,-16.8552,-16.3269,-16.8933,-16.7566,-16.7326,-16.5139,-17.4119,-16.9036,-17.0868,-16.7423
"sp|P00899|TRPE_YEAST","60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL28 PE=1 SV=3",-20.3424,-21.2464,-20.4018,-20.4319,-20.7407,-20.1858,-20.4645,-20.6601,-20.5337,-20.7249,-20.7869,-20.4968,-19.7838,-20.63,-20.1066,-20.3022,-20.7823,-20.1436,-20.0606,-20.67,-20.8932,-20.3309,-19.9725,-20.2272,-20.5962,-21.1511,-20.9874
"sp|P00918ups|CAH2_HUMAN_UPS","40S ribosomal protein S17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPS17A PE=1 SV=1",-17.994,-18.0238,-18.5946,NA,NA,NA,-19.1682,-19.4474,-17.8263,NA,NA,NA,NA,NA,NA,-17.6639,-17.3794,-17.5991,-20.4266,-21.4368,-21.7211,NA,NA,NA,NA,NA,NA
"sp|P00924|ENO1_YEAST","Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TUB2 PE=1 SV=2",-14.7838,-14.4525,-14.3633,-15.1421,-14.3307,-15.3558,-14.6678,-15.4231,-15.2709,-14.5169,-14.644,-15.0297,-15.3979,-15.3201,-14.1807,-14.8859,-14.5459,-14.6705,-14.3883,-14.5598,-14.0677,-14.9133,-15.0049,-14.3694,-15.1129,-15.568,-15.5119
"sp|P00925|ENO2_YEAST","Serum albumin (Chain 26-609) - Homo sapiens (Human)",-13.6448,-13.265,-13.4009,-13.4445,-13.4005,-13.229,-13.459,-13.3339,-13.3497,-13.7203,-13.47,-13.3588,-13.3486,-13.1933,-13.1721,-13.5277,-13.594,-13.4825,-13.7713,-13.519,-13.584,-13.3801,-13.2537,-13.28,-14.1114,-13.7817,-13.7795
"sp|P00931|TRP_YEAST","Serotransferrin (Chain 20-698) - Homo sapiens (Human)",-18.6031,-18.6462,-18.6629,-19.0888,-18.6181,-17.8125,-18.7269,-19.0869,-18.6037,-19.2409,-18.688,-18.4882,-18.6541,-17.9319,-18.2403,-18.7122,-19.2219,-18.1142,-18.7741,-18.6735,-18.4847,-18.2745,-18.2954,-18.2315,-17.5277,-18.874,-18.6329
"sp|P00942|TPIS_YEAST","Lactotransferrin (Chain 20-710) - Homo sapiens (Human)",-13.5928,-13.7738,-13.7834,-13.6972,-13.9734,-13.9043,-13.6937,-13.4806,-13.6434,-13.581,-13.6353,-13.6051,-13.6139,-13.5822,-13.598,-13.8006,-14.2168,-14.1587,-13.5193,-13.6104,-13.5446,-13.6779,-13.7506,-13.765,-13.5651,-13.7042,-13.8773
"sp|P00950|PMG1_YEAST","ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HSP82 PE=1 SV=1",-14.3312,-14.1555,-14.2508,-14.6585,-14.6676,-14.7958,-14.6223,-13.8649,-13.8431,-14.2042,-14.3748,-14.3017,-14.5952,-14.5867,-14.6436,-14.5583,-14.806,-14.8216,-14.1752,-14.0488,-13.8882,-14.5734,-14.5533,-14.403,-14.5688,-14.6742,-14.9894
"sp|P00958|SYMC_YEAST","Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TUF1 PE=1 SV=1",-22.5623,-22.0174,-23.2651,-21.5859,-21.3036,-20.9045,-21.6811,-22.5724,-22.0134,-23.1071,-21.5988,-23.1585,-21.0505,-20.5115,-21.0317,-24.2154,-24.5128,-22.8663,-21.9283,-22.2657,-22.3276,-20.7291,-21.3228,-20.3134,-22.2008,-22.7231,-21.9377
"sp|P01008ups|ANT3_HUMAN_UPS","Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TEF1 PE=1 SV=1",-17.9525,-18.0611,-18.033,NA,NA,NA,-16.8814,-17.2318,-17.1003,NA,NA,NA,NA,NA,NA,-16.2409,-16.0693,-15.6791,-22.3716,-22.5842,-22.6287,NA,NA,NA,NA,NA,NA
"sp|P01112ups|RASH_HUMAN_UPS","Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=CPA2 PE=1 SV=1",-18.2686,-18.2489,-18.5723,NA,NA,NA,-18.528,-18.6017,-17.9507,NA,NA,NA,NA,NA,NA,-17.2306,-17.7488,-16.7701,-21.8675,-22.0508,-21.8965,NA,NA,NA,NA,NA,NA
"sp|P01123|YPT1_YEAST","Cytochrome c oxidase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=COX4 PE=1 SV=1",-19.1725,-19.7101,-20.7155,-19.6649,-20.2121,-19.2533,-19.5891,-18.4913,NA,-19.4575,-18.4465,-19.768,-19.5627,-19.6074,-19.6903,-20.2577,-19.5983,-19.9369,-19.1575,-18.9178,-19.4506,-20.7426,-20.2259,-19.6587,-22.8556,-22.0367,-20.3541
"sp|P01133ups|EGF_HUMAN_UPS","Catalase (Chain 2-527) - Homo sapiens (Human)",-18.7297,-18.5135,-18.3983,NA,NA,NA,NA,-18.4647,-17.8762,NA,NA,NA,NA,NA,NA,-17.6529,-17.5816,-18.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P01344ups|IGF2_HUMAN_UPS","Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ARG4 PE=1 SV=2",-16.6091,-16.2495,-17.2393,NA,NA,NA,-16.4725,-17.0925,-16.4571,NA,NA,NA,NA,NA,NA,-16.5695,-15.7612,-15.4952,-18.1909,-18.0374,-18.8057,NA,NA,NA,NA,NA,NA
"sp|P01375ups|TNFA_HUMAN_UPS","Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PAB1 PE=1 SV=4",-17.6312,-17.4776,-17.8387,NA,NA,NA,-17.3044,-17.6786,-17.4064,NA,NA,NA,NA,NA,NA,-16.3848,-16.1017,-15.6316,-19.7107,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P01579ups|IFNG_HUMAN_UPS","60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL24A PE=1 SV=1",-18.5761,-18.6616,-18.1646,NA,NA,NA,-18.3317,-17.1341,-18.7002,NA,-23.4308,NA,NA,NA,NA,-17.6312,-17.54,-17.6593,-19.2397,-19.8389,-18.9981,NA,NA,NA,NA,NA,NA
"sp|P02144ups|MYG_HUMAN_UPS","60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL25 PE=1 SV=4",-18.2265,-18.9293,-17.5503,NA,NA,NA,-16.4275,-16.5495,-17.2094,NA,NA,NA,NA,NA,NA,-15.5535,-15.389,-15.5355,-18.9693,-17.9951,-19.9627,NA,NA,NA,NA,NA,NA
"sp|P02293|H2B1_YEAST","60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL39 PE=1 SV=3",-17.6225,-17.5151,-17.5418,-17.081,-17.5601,-18.1151,-17.0173,-16.7223,-17.906,-16.9755,-17.1166,-16.9979,-17.7991,-17.7919,-17.7652,-17.9685,-17.5361,-17.4232,-16.6078,-16.9794,-17.1155,-17.2797,-16.8951,-17.0289,-16.6246,-17.0327,-17.9692
"sp|P02309|H4_YEAST","Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=THS1 PE=1 SV=2",-15.9965,-16.137,-16.347,-16.4602,-17.0746,-16.7746,-16.2076,-17.1197,-15.5483,-17.0015,-16.3714,-16.1737,-16.9163,-16.8217,-16.7245,-16.5358,-16.2936,-17.0235,-15.6873,-16.4552,-15.9997,-16.8605,-16.733,-16.055,-16.8058,-16.4352,-16.309
"sp|P02400|RLA4_YEAST","Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=DPS1 PE=1 SV=3",-14.374,-14.6858,-14.6409,-15.5745,-15.5906,-14.7927,-15.2152,-15.1888,-14.8079,-15.0491,-15.3839,-14.4075,-14.8298,-14.4323,-14.7064,-14.4742,-14.8847,-14.8401,-14.8637,-15.2957,-14.97,-15.3925,-15.4447,-14.3409,-15.4311,-15.6586,-15.3143
"sp|P02406|RL28_YEAST","Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HXK1 PE=1 SV=2",-15.9563,-15.3556,-15.8425,-15.2858,-15.0473,-14.9447,-15.5456,-16.6929,-15.8424,-15.7406,-15.8054,-15.335,-15.2733,-15.5307,-15.1448,-15.7548,-15.6632,-16.3136,-15.5598,-15.9788,-15.6166,-15.335,-15.2675,-15.1076,-15.5403,-15.5419,-15.2057
"sp|P02407|RS17A_YEAST","Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HXK2 PE=1 SV=4",-13.981,-14.3689,-14.6673,-15.2379,-14.5681,-15.4701,-13.7658,-14.8978,-15.0329,-14.0206,-14.1521,-13.7283,-14.7401,-14.5634,-14.608,-14.2919,-14.4013,-15.417,-13.8843,-14.6806,-14.1001,-14.9427,-14.4269,-14.284,-16.3272,-14.2025,-15.2076
"sp|P02557|TBB_YEAST","Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=POR1 PE=1 SV=4",-20.7118,-20.1355,-19.9199,-21.3401,-20.8433,-20.2151,-19.3329,-20.259,-19.3657,-20.2368,-19.3459,-20.7704,-20.9882,-21.6607,-20.2937,-20.1003,-20.0672,-19.9516,-19.2009,-19.6129,-19.8253,-19.6076,-19.8351,-22.7392,-19.1235,-19.098,-19.2864
"sp|P02753ups|RET4_HUMAN_UPS","Histone H2A.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HTA1 PE=1 SV=2",-20.3624,-20.1846,-20.8284,NA,NA,NA,-18.8901,-21.6425,-19.3098,NA,NA,NA,NA,NA,NA,-19.3469,-18.8088,-18.6244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P02768ups|ALBU_HUMAN_UPS","Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PMA1 PE=1 SV=2",-18.9498,-18.516,-18.4558,NA,NA,NA,-17.2207,-17.4603,-17.1083,-23.5448,-23.6718,-22.8177,NA,NA,NA,-16.2298,-15.9555,-15.9922,-20.0186,-20.1305,-20.2781,NA,NA,NA,NA,NA,NA
"sp|P02787ups|TRFE_HUMAN_UPS","60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPP0 PE=1 SV=2",-18.7607,-19.1874,-19.1583,NA,NA,NA,-18.6122,-18.8265,-18.3413,NA,NA,NA,NA,NA,NA,-17.4563,-17.4228,-17.5051,-23.4489,NA,-23.7374,NA,NA,NA,NA,NA,NA
"sp|P02788ups|TRFL_HUMAN_UPS","60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPP2A PE=1 SV=1",-18.5952,-18.2917,-18.533,NA,NA,NA,-16.695,-16.9794,-16.9355,-22.4737,-21.976,-22.2715,NA,NA,NA,-15.979,-16.1246,-16.0035,-22.3707,-21.2176,-20.5655,NA,NA,NA,NA,NA,NA
"sp|P02829|HSP82_YEAST","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=MET6 PE=1 SV=4",-20.12,-19.7673,-19.852,-19.611,-20.723,-19.4838,-20.0103,-19.4105,-18.8789,-20.6503,-20.2814,-20.6787,-20.3847,-19.0171,-19.7069,-19.6738,-19.2986,-19.2699,-20.3794,-20.2267,-20.2714,-19.5448,-19.6997,-19.4483,-18.6469,-18.9073,-20.4706
